ул. Тикоцкого 50 1 	 Первомайский
ул. Лещинского 43 	 Фрунзенский
ул. Выготского 43 	 Центральный
ул. Гикало 22 Б 	 Советский
ул. Декабристов 18 	 Московский
просп. Победителей 95 	 Центральный
ул. Белецкого 20 	 Московский
ул. Кнорина 10 	 Первомайский
просп. Рокоссовского 74 	 Ленинский
ул. Лещинского 43 	 Фрунзенский
ул. Тухачевского 43 	 Заводской
ул. Якубовского 26 1 	 Фрунзенский
ул. Славинского 15 	 Первомайский
ул. Мирошниченко 27 	 Советский
ул. Тимошенко 38 	 Фрунзенский
ул. Кульман 24 	 Советский
ул. Кульман 24 	 Советский
ул. Кульман 24 	 Советский
просп. Любимова 13 1 	 Московский
ул. Судмалиса 24 	 Ленинский
ул. Жудро 31 	 Фрунзенский
ул. Шугаева 17 к1 	 Первомайский
ул. Смирнова 31 	 Московский
ул. Шугаева 17 1 	 Первомайский
ул. Шатько 16 	 Московский
ул. Кунцевщина 36 	 Фрунзенский
ул. Славинского 45 	 Первомайский
ул. Никифорова 25 	 Первомайский
ул. Притыцкого 41 	 Фрунзенский
ул. Болеслава Берута 18 2 	 Фрунзенский
ул. Тикоцкого 46 1 	 Первомайский
ул. Рафиева 15 	 Московский
ул. Гамарника 26 	 Советский
ул. Ротмистрова 52 	 Заводской
ул. Притыцкого 106 	 Фрунзенский
просп. Рокоссовского 54 1 	 Ленинский
ул. Славинского 37 	 Первомайский
ул. Мирошниченко 27 	 Советский
ул. Семашко 15 	 Московский
ул. Кульман 32 	 Советский
ул. Хмелевского 34 	 Московский
ул. Карбышева 11 	 Первомайский
ул. Лобанка 62 	 Фрунзенский
ул. Шугаева 21 1 	 Первомайский
ул. Притыцкого 122 	 Фрунзенский
просп. Пушкина 21 	 Фрунзенский
просп. Газеты Правда 14 	 Московский
ул. Притыцкого 42 	 Фрунзенский
ул. Авакяна 34 2 	 Октябрьский
ул. Левкова 35 к2 	 Октябрьский
ул. Рафиева 42 	 Московский
ул. Осипенко 15 	 Центральный
просп. Рокоссовского 133 	 Ленинский
ул. Руссиянова 18 	 Первомайский
ул. Бурдейного 39 Минск Беларусь 	 Фрунзенский
ул. Матусевича 62 	 Фрунзенский
ул. Чигладзе 10 	 Фрунзенский
ул. Чигладзе 10 	 Фрунзенский
ул. Голубева 24 А 	 Московский
просп. Рокоссовского 71 	 Ленинский
просп. Дзержинского 23 	 Московский
ул. Ротмистрова 52 	 Заводской
просп. Рокоссовского 18 1 	 Ленинский
ул. Менделеева 30 	 Партизанский
ул. Рафиева 52 	 Московский
ул. Якубовского 25 	 Фрунзенский
