"street","district","buildings"
"Аполинарьевская ул.","Советский",
"Авангардная ул.","Партизанский",
"Авангардный пер.","Партизанский",
"Авакяна ул.","Октябрьский",
"Авроровская ул.","Ленинский",
"Автодоровская ул.","Московский",
"Автодоровский пер.","Московский",
"Азгура ул.","Партизанский",
"Ауэзова ул.","Заводской",
"Автозаводская ул.","Заводской",
"Автозаводской пер.","Заводской",
"Азизова Д. ул.","Центральный",
"Азовская ул.","Московский",
"Айвазовского ул.","Заводской",
"Айвазовский пер.","Заводской",
"Академическая ул.","Первомайский",
"Аллейная","Первомайский",
"Алибегова И. Я.ул.","Московский",
"Алтайская ул.","Заводской",
"Алтайский пер.","Заводской",
"Амбулаторная ул.","Ленинский",
"Амбулаторный пер.","Ленинский",
"Амураторская ул.","Центральный",
"Амурская ул.","Советский",
"Амурский пер.","Советский",
"Ангарская ул.","Заводской",
"Ангарский пер.","Заводской",
"Анаева О. ул.","Партизанский",
"Анвреевская ул.","Партизанский",
"Антоновская ул.","Партизанский",
"Арктическая 1-я ул.","Советский",
"Арктическая 2-я ул","Советский",
"Артема ул.","Заводской",
"Артема 1-й пер.","Заводской",
"Артема 1-й проезд","Заводской",
"Артиллеристов ул.","Октябрьский",
"Агатовый пер.","Центральный",
"Генерала Антонова ул.","Центральный",
"Александровская ул.","Центральный",
"Асаналиева Д. С. ул.","Октябрьский",
"Асаналиева Д. С. пер.","Октябрьский",
"Аэродромная ул.","Октябрьский",
"Аэродромный пер.","Октябрьский",
"Аэрофлотская ул.","Октябрьский",
"Аэрофлотский 1-й пер.","Октябрьский",
"Абрикосовая ул.","Советский",
"Авиации ул.","Октябрьский",
"Автомобилистов ул.","Центральный",
"Агатовый пер.","Центральный",
"Бабушкина ул.","Октябрьский",
"Багратиона 1-й пер.","Партизанский",
"Багратиона 2-й пер.","Партизанский",
"Багратиона ул.","Партизанский",
"Багряная ул.","Заводской",
"Багряная ул.","Партизанский",
"Багряный пер.","Заводской",
"Багряный пер.","Партизанский",
"Базисная 1-я ул.","Советский",
"Базисная 2-я ул.","Советский",
"Байкальская ул.","Заводской",
"Бакинская ул.","Октябрьский",
"Бакунина ул.","Центральный",
"Балтийская ул.","Ленинский",
"Бангалор пл.","Советский",
"Барамзиной ул.","Октябрьский",
"Барановщина 1-й пер.","Фрунзенский",
"Барановщина ул.","Фрунзенский",
"Басиаловский 1-й пер.","Центральный",
"Басиаловский 2-й пер.","Центральный",
"Баторинская ул.","Центральный",
"Баторинский пер.","Центральный",
"Бачило А. ул.","Заводской",
"Бегомельская ул.","Центральный",
"Бедного Д. ул.","Центральный",
"Беды Л. ул.","Советский",
"Белецкого Г. М. ул.","Московский",
"Белинского ул.","Первомайский","1-11, 2-20"
"Белинского ул.","Советский","13-57, 22-66"
"Беломорская ул.","Советский",
"Белорусская ул.","Ленинский",
"Белорусский 1-й пер.","Ленинский",
"Белорусский 2-й пер.","Ленинский",
"Белорусский 4-й пер.","Ленинский",
"Бельского ул.","Фрунзенский",
"Бельчицкая ул.","Советский",
"Беляева ул.","Первомайский",
"Березинская ул.","Октябрьский",
"Берестянская ул.","Советский","9-17, 18-24"
"Берестянская ул.","Первомайский","10-16"
"Берестянская ул.","Партизанский","1-7, 2-8"
"Берсона пер.","Московский",
"Берсона ул.","Московский",
"Бетонный проезд","Московский",
"Бехтерева ул.","Заводской",
"Библиотечная ул.","Советский",
"Бирюзова ул.","Фрунзенский",
"Бобруйская ул.","Октябрьский","13-27, 10-12"
"Бобруйская ул.","Московский","1-11"
